"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2023","23.40","23.40","23.52","23.24","606.93K","-0.34%"
"05/04/2023","23.48","23.30","23.58","23.30","947.70K","1.12%"
"05/03/2023","23.22","23.22","23.60","23.16","2.28M","0.09%"
"05/01/2023","23.20","24.02","24.02","23.20","1.09M","-3.33%"
"04/28/2023","24.00","24.20","24.48","24.00","1.42M","-0.83%"
"04/27/2023","24.20","23.96","24.40","23.88","1.19M","1.00%"
"04/26/2023","23.96","23.98","23.98","23.70","1.68M","0.42%"
"04/25/2023","23.86","23.96","24.14","23.68","1.15M","-0.42%"
"04/24/2023","23.96","23.30","23.96","23.26","1.27M","2.48%"
"04/19/2023","23.38","23.50","23.56","23.10","1.10M","-2.09%"
"04/18/2023","23.88","23.80","23.88","23.62","1.54M","0.34%"
"04/17/2023","23.80","23.60","23.80","23.40","1.72M","1.36%"
"04/14/2023","23.48","23.42","23.58","23.28","1.05M","0.17%"
"04/13/2023","23.44","23.62","23.62","23.30","1.77M","-0.26%"
"04/12/2023","23.50","23.28","23.58","23.16","1.43M","1.29%"
"04/11/2023","23.20","23.20","23.28","23.10","1.28M","0.09%"
"04/10/2023","23.18","23.00","23.20","22.96","515.99K","0.87%"
"04/07/2023","22.98","22.72","23.00","22.62","481.69K","1.14%"
"04/06/2023","22.72","22.80","22.80","22.64","598.60K","-0.53%"
"04/05/2023","22.84","22.82","22.86","22.50","1.22M","0.00%"
"04/04/2023","22.84","22.80","22.98","22.70","1.07M","0.18%"
"04/03/2023","22.80","22.70","22.80","22.10","1.76M","3.35%"
"03/31/2023","22.06","22.60","22.70","22.06","2.38M","-1.52%"
"03/30/2023","22.40","22.88","23.00","22.36","2.78M","-1.15%"
"03/29/2023","22.66","23.32","23.38","22.66","3.14M","-2.83%"
"03/28/2023","23.32","23.44","23.44","23.18","1.66M","-0.43%"
"03/27/2023","23.42","23.64","23.78","23.30","1.03M","-1.18%"
"03/24/2023","23.70","23.76","23.76","23.60","878.88K","-0.25%"
"03/23/2023","23.76","23.76","23.76","23.54","930.79K","-0.17%"
"03/22/2023","23.80","23.78","23.80","23.40","945.30K","0.34%"
"03/21/2023","23.72","23.40","23.80","23.22","1.16M","1.37%"
"03/20/2023","23.40","23.14","23.40","22.82","634.98K","2.72%"
"03/17/2023","22.78","23.46","23.46","22.78","8.75M","-1.81%"
"03/16/2023","23.20","23.50","23.50","23.10","1.19M","-0.43%"
"03/15/2023","23.30","24.10","24.14","23.30","2.03M","-1.85%"
"03/14/2023","23.74","24.68","24.70","23.74","2.00M","-3.57%"
"03/13/2023","24.62","24.94","25.10","24.62","1.98M","-2.46%"
"03/10/2023","25.24","25.40","25.40","24.94","832.57K","-0.63%"
"03/09/2023","25.40","25.32","25.60","25.04","1.12M","0.32%"
"03/08/2023","25.32","25.24","25.32","24.90","1.65M","0.16%"
"03/07/2023","25.28","25.62","25.64","25.12","1.07M","-1.25%"
"03/06/2023","25.60","25.66","25.66","25.36","1.22M","0.31%"
"03/03/2023","25.52","25.10","25.66","25.10","928.41K","-0.31%"
"03/02/2023","25.60","25.36","25.60","25.30","1.10M","0.95%"
"03/01/2023","25.36","25.46","25.50","25.20","983.09K","-0.55%"
"02/28/2023","25.50","25.40","25.60","24.84","5.43M","0.95%"
"02/27/2023","25.26","25.78","25.78","25.26","1.93M","-1.79%"
"02/24/2023","25.72","26.20","26.20","25.26","1.41M","0.39%"
"02/23/2023","25.62","26.24","26.24","25.50","1.52M","-1.16%"
"02/22/2023","25.92","26.36","26.36","25.92","1.20M","-1.82%"
"02/21/2023","26.40","26.84","26.84","26.18","1.04M","-1.20%"
