"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2023","3.180","3.190","3.200","3.170","912.99K","-0.62%"
"05/04/2023","3.200","3.200","3.210","3.170","1.56M","0.00%"
"05/03/2023","3.200","3.200","3.220","3.170","1.27M","-0.31%"
"05/02/2023","3.210","3.210","3.230","3.190","2.00M","0.00%"
"05/01/2023","3.210","3.270","3.290","3.210","2.34M","-1.23%"
"04/28/2023","3.250","3.250","3.300","3.230","8.83M","0.00%"
"04/27/2023","3.250","3.200","3.270","3.180","5.95M","0.93%"
"04/26/2023","3.220","3.190","3.220","3.160","565.88K","0.62%"
"04/25/2023","3.200","3.190","3.240","3.180","1.34M","-0.31%"
"04/24/2023","3.210","3.170","3.250","3.170","653.75K","0.94%"
"04/19/2023","3.180","3.170","3.200","3.170","243.43K","0.00%"
"04/18/2023","3.180","3.180","3.230","3.160","677.50K","0.95%"
"04/17/2023","3.150","3.200","3.200","3.120","1.32M","-0.94%"
"04/14/2023","3.180","3.250","3.250","3.170","1.12M","-1.55%"
"04/13/2023","3.230","3.230","3.250","3.190","1.68M","0.00%"
"04/12/2023","3.230","3.290","3.300","3.210","1.73M","-0.92%"
"04/11/2023","3.260","3.270","3.270","3.230","667.76K","-0.31%"
"04/10/2023","3.270","3.250","3.270","3.240","148.70K","0.31%"
"04/07/2023","3.260","3.340","3.340","3.220","774.23K","-0.61%"
"04/06/2023","3.280","3.280","3.300","3.270","2.02M","-0.30%"
"04/05/2023","3.290","3.300","3.340","3.260","1.23M","-1.50%"
"04/04/2023","3.340","3.360","3.390","3.340","828.47K","-0.30%"
"04/03/2023","3.350","3.400","3.450","3.350","3.01M","-4.01%"
"03/31/2023","3.490","3.390","3.490","3.340","16.20M","2.95%"
"03/30/2023","3.390","3.300","3.390","3.270","5.02M","3.35%"
"03/29/2023","3.280","3.270","3.310","3.250","1.79M","-0.30%"
"03/28/2023","3.290","3.250","3.310","3.230","4.70M","1.23%"
"03/27/2023","3.250","3.240","3.300","3.210","3.66M","-0.31%"
"03/24/2023","3.260","3.270","3.290","3.230","956.67K","-0.31%"
"03/23/2023","3.270","3.260","3.280","3.260","1.10M","0.00%"
"03/22/2023","3.270","3.260","3.310","3.250","6.05M","1.55%"
"03/21/2023","3.220","3.220","3.300","3.210","5.38M","-0.62%"
"03/20/2023","3.240","3.290","3.290","3.220","4.92M","-1.82%"
"03/17/2023","3.300","3.170","3.300","3.110","6.88M","5.77%"
"03/16/2023","3.120","3.250","3.250","3.070","4.13M","-3.41%"
"03/15/2023","3.230","3.200","3.300","3.180","1.87M","1.25%"
"03/14/2023","3.190","3.330","3.360","3.180","9.62M","-5.06%"
"03/13/2023","3.360","3.410","3.410","3.340","2.13M","-1.18%"
"03/10/2023","3.400","3.430","3.430","3.370","1.54M","-0.87%"
"03/09/2023","3.430","3.440","3.470","3.430","1.03M","-0.58%"
"03/08/2023","3.450","3.430","3.450","3.410","1.22M","0.58%"
"03/07/2023","3.430","3.470","3.470","3.420","2.01M","-0.29%"
"03/06/2023","3.440","3.500","3.500","3.440","1.55M","-1.15%"
"03/03/2023","3.480","3.500","3.520","3.470","3.18M","-0.29%"
"03/02/2023","3.490","3.360","3.520","3.360","6.27M","3.56%"
"03/01/2023","3.370","3.350","3.390","3.320","6.69M","0.00%"
"02/28/2023","3.370","3.410","3.410","3.370","9.20M","-1.46%"
"02/27/2023","3.420","3.400","3.460","3.380","9.57M","0.29%"
"02/24/2023","3.410","3.420","3.420","3.370","8.07M","0.29%"
"02/23/2023","3.400","3.390","3.410","3.280","11.07M","1.19%"
"02/22/2023","3.360","3.430","3.430","3.330","11.19M","-0.88%"
"02/21/2023","3.390","3.450","3.450","3.380","11.52M","-2.02%"
"02/20/2023","3.460","3.510","3.510","3.410","8.36M","0.29%"
"02/17/2023","3.450","3.350","3.570","3.340","27.78M","4.55%"
"02/16/2023","3.300","3.210","3.310","3.210","9.52M","3.12%"
"02/15/2023","3.200","3.230","3.240","3.160","10.60M","0.00%"
"02/14/2023","3.200","3.190","3.240","3.160","8.68M","0.95%"
"02/13/2023","3.170","3.150","3.200","2.960","10.88M","0.96%"
"02/10/2023","3.140","3.180","3.200","3.110","8.80M","-1.26%"
"02/09/2023","3.180","3.210","3.240","3.180","6.06M","-0.93%"
"02/08/2023","3.210","3.200","3.250","3.200","7.90M","0.94%"
"02/07/2023","3.180","3.240","3.260","3.180","11.53M","-1.55%"
"02/06/2023","3.230","3.200","3.250","3.180","12.24M","0.94%"
"02/03/2023","3.200","3.180","3.230","3.170","11.76M","0.63%"
"02/02/2023","3.180","3.150","3.250","3.110","9.87M","0.95%"
"02/01/2023","3.150","3.280","3.380","3.150","11.73M","-3.08%"
"01/31/2023","3.250","3.290","3.300","3.160","14.41M","0.00%"
"01/30/2023","3.250","3.190","3.350","2.810","23.77M","4.17%"
"01/27/2023","3.120","3.420","3.420","3.100","12.56M","-8.24%"
"01/26/2023","3.400","3.470","3.480","3.400","7.08M","-2.58%"
"01/25/2023","3.490","3.470","3.510","3.430","9.74M","0.87%"
"01/24/2023","3.460","3.460","3.480","3.430","7.83M","-0.57%"
"01/23/2023","3.480","3.500","3.500","3.430","9.55M","-0.29%"
"01/20/2023","3.490","3.500","3.500","3.450","10.43M","-0.29%"
"01/19/2023","3.500","3.490","3.510","3.480","12.64M","0.29%"
"01/18/2023","3.490","3.500","3.520","3.470","12.10M","-0.29%"
"01/17/2023","3.500","3.520","3.570","3.500","13.35M","-0.57%"
"01/16/2023","3.520","3.540","3.540","3.500","9.31M","-0.56%"
"01/13/2023","3.540","3.500","3.540","3.480","8.04M","1.14%"
"01/12/2023","3.500","3.540","3.560","3.450","10.76M","-0.85%"
"01/11/2023","3.530","3.530","3.540","3.500","16.86M","-0.28%"
"01/10/2023","3.540","3.590","3.590","3.510","10.30M","-1.39%"
"01/09/2023","3.590","3.610","3.640","3.580","9.44M","-0.28%"
"01/06/2023","3.600","3.610","3.630","3.560","12.41M","-0.55%"
